min_cooldown	effect	name	max_cooldown	
10	Inflict damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Attacker & Dragon type cards ATK x2.5 for 2 turns.	があっ!!!!!	15	
10	50% damage reduction for 1 turn.	バリアー	25	
6	Increase skyfall chance of Water orbs by 15% for 3 turns. Change right-most column into Water orbs.	アプロード	10	
15	Reduce 25% of all enemies' HP. Ignore enemy element and defense.	デスボール	25	
6	Increase skyfall chance of Fire orbs by 15% for 3 turn. Change right-most column into Fire orbs.	アグニロード	10	
7	Randomly spawn 3 Fire & Heart orbs from non Fire & Heart orbs. Give 7 seconds to move orbs without triggering matches.	ツインバレル	12	
5	Change Jammer, Poison & Mortal Poison orbs to Heart orbs. Bind recovery for 5 turns.	ネロフェイス	9	
6	Reshuffle all orbs.	マッハキック	11	
999	Unknown - needs data update	てまエンハンス	999	
10	Give 5 seconds to move orbs without triggering matches.	サイコキネシス	17	
11	Change all orbs to Water, Wood & Light & Heart orbs. Deals damage equal to 5% of enemies' max HP.	サンダークロウ	16	
9	Inflict Water damage equal to ATK x80 to 1 enemy. Affected by enemy element and defense. Change all orbs to Water, Wood & Light orbs.	パワーブリッツ	13	
17	Reduce 30% of all enemies' HP. Ignore enemy element and defense. Recover 7000 HP.	ヒレフセーッ！	24	
5	Inflict Fire damage equal to ATK x1-100 to all enemies. Affected by enemy element and defense.	ブレイズブレス	20	
6	Inflict Wood damage equal to ATK x80 to 1 enemy. Affected by enemy element and defense. Enhance Wood orbs. +6% per orb, up to +180% for full board.	ロケットパンチ	10	
11	Inflict Fire damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Machine type cards ATK x1.5 for 1 turn.	アイ、アイサー！	11	
20	Inflict Fire damage equal to ATK x250 to all enemies. Affected by enemy element and defense.	エネルギーボール	24	
999	Unknown - needs data update	ストームアタック	999	
14	Inflict Dark damage equal to ATK x80 to 1 enemy. Affected by enemy element and defense.	スナイプショット	29	
8	All attacks become multi-target for 3 turns. Devil type cards ATK x1.2 for 3 turns.	デーモン・ダンス	15	
10	Randomly spawn 7 Light orbs from non Light orbs.	ドラゴンレーダー	15	
10	Inflict damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Change Poison orbs to Heart orbs.	ミルキーキャノン	17	
8	Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep. Inflict damage equal to ATK x20 to 1 enemy. Affected by enemy element and defense.	クラッシャーボール	15	
9	Delay 2 turns to all enemies. Inflict damage equal to ATK x1 to 1 enemy. Affected by enemy element and defense.	ダイナマイトキック	14	
7	Dragon type cards ATK x1.5 for 1 turn. Reduces cooldown of other skills by 1 turn.	ドラゴン・サポート	13	
11	Increases time limit of orb movement by 5 seconds for 1 turn. Devil type cards ATK x1.5 for 1 turn.	パズル＆デーモンズ	14	
2	Switch places with leader card. Use again to switch back.	プロミネンスシフト	22	
12	Devil type cards ATK x2 for 1 turn. Reduces cooldown of other skills by 1 turn.	スペル・シュトローム	17	
8	Inflict damage equal to ATK x80 to 1 enemy. Affected by enemy element and defense. Change Fire, Jammer, Poison & Mortal Poison orbs to Dark orbs.	ファイナルフラッシュ	13	
13	Dragon type cards ATK x1.5 for 1 turn. Inflict damage equal to ATK x20 to 1 enemy. Affected by enemy element and defense.	リクーム…ウルトラ…	20	
8	Change left-most column into Light orbs and the right-most column into Dark orbs. Counter 5x damage taken with Light for 1 turn.	オーバーリフレクション	13	
10	Recover 25% of max HP. Change all orbs to Fire, Water & Wood & Light & Dark & Heart orbs.	オールドロップキュアー	15	
7	Change Wood orbs to Heart orbs. Reduces cooldown of other skills by 1 turn.	ヘルブレイズヴィジョン	22	
999	Unknown - needs data update	エンゲージフェザー・ルナ	999	
999	Unknown - needs data update	スターウェディングロード	999	
7	Change right-most column into Fire orbs. Reduces cooldown of other skills by 1 turn.	ボルシャック・ファイアー	12	
6	Deal 1000 damage to all enemies. Ignore enemy element and defense.	1,000 Day Anniversary TAMA!	6	
8	Attacker type cards ATK x2 for 1 turn. Reduce enemies' defense by 75% for 1 turn. Effects carry forward on sweep.	100 Victories in 100 Battles	12	
7	Randomly spawn 6 Fire orbs from non Fire orbs. Enhance Fire orbs. +6% per orb.	3連炎ブレス	12	
23	Deals damage equal to 25% of enemies' max HP.	Abandon your prayers.	28	
4	Randomly spawn 3 Water orbs from non Water orbs.	A Break in the Clouds	14	
8	Deal Dark damage to all enemies based on player's HP %. ATK x40 at 100% HP up to ATK x200 at 1 HP. Affected by enemy element and defense. Dark attribute ATK x2 for 1 turn.	Abyssal Strike	12	
8	Change left-most column into Water orbs. Bind recovery for 3 turns.	Abyssal Stroke	16	
7	Increases time limit of orb movement by 300% for 1 turn. Reduces cooldown of other skills by 1 turn.	Abyssal Vision	22	
10	Change all orbs to Water, Dark & Heart orbs. Reduces cooldown of other skills by 1 turn.	Abyss Dark Ring	15	
10	Change Wood, Heart, Jammer, Poison & Mortal Poison orbs to Dark orbs. Increase skyfall chance of Dark orbs by 15% for 4 turns.	Aero Wake - Dark	15	
10	Change Wood, Heart, Jammer, Poison & Mortal Poison orbs to Fire orbs. Increase skyfall chance of Fire orbs by 15% for 4 turn.	Aero Wake - Flare	15	
5	Increase skyfall chance of Dark orbs by 15% for 1 turns. Randomly spawn 2 Dark orbs from non Dark orbs.	Ah... How refreshing	15	
8	Randomly spawn 4 Fire & Water orbs from non Fire & Water orbs. Reduces cooldown of other skills by 1 turn.	Akane's MY fiancée!!	13	
7	35% damage reduction for 2 turns. Inflict Fire damage equal to ATK x10 to all enemies. Affected by enemy element and defense.	Alchemical Forging	17	
14	ATK x1 + ( 0.3x for every Extend Time on the team ) for 2 turns.	Alexandrite of Calmness	19	
9	Change all orbs to Fire, Water & Wood & Light & Dark & Heart orbs. Reduces cooldown of other skills by 1 turn.	All Orbs Charge	14	
5	Increase skyfall chance of Fire & Dark orbs by 10% for 5 turn.	All right! Let's settle this!	10	
7	Inflict damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Attacker & Machine type cards ATK x1.5 for 2 turns.	All right, understood!	12	
10	Change left-most column into Dark orbs and the right-most column into Dark orbs. Reduces cooldown of other skills by 1 turn.	All that shall remain... is Evil!!	15	
14	Fire attribute ATK x3 for 1 turn. Increase skyfall chance of Fire orbs by 25% for 1 turn.	Amakakeru Ryu no Hirameki	18	
8	Recover 25% of max HP. Increase skyfall chance of Wood & Heart orbs by 10% for 4 turn.	Amanotamuzake	18	
7	Counter 5x damage taken with Water for 4 turns. Change Fire, Jammer, Poison & Mortal Poison orbs to Water orbs.	Amon Cross	11	
5	25% damage reduction for 2 turns.	Ancient Chain Vine	9	
6	Enhance Water, Wood & Light orbs. +6% per orb.	Angel	11	
16	Give 12 seconds to move orbs without triggering matches.	Another Dimension	26	
15	Light attribute ATK x5 for 1 turn. Reduces cooldown of other skills by 2 turns.	Apolluo Enhancement	15	
6	Inflict damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Balanced type cards ATK x1.5 for 1 turn.	Apple Power!	10	
5	Change Wood orbs to Dark orbs, Light orbs to Poison orbs.	APTX4869	15	
8	Change top-most row into Water orbs. Reduces cooldown of other skills by 1 turn.	Aqua Charge	13	
8	Change Light orbs to Water orbs, Heart orbs to Wood orbs. Increases time limit of orb movement by 2 seconds for 1 turn.	Aqua Leaf Prism	11	
10	Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Recover 1000 HP.	Aqua Seed Breath	20	
5	Change bottom-most row into Water orbs.	Aqua Spell	9	
5	Increase skyfall chance of Light & Dark orbs by 10% for 5 turn.	Arcane Evil Witch	15	
8	Change left-most column into Light orbs and the right-most column into Water orbs. Reduces cooldown of other skills by 1 turn.	Arctic Breath	12	
7	.. 35% damage reduction for 1 turn.	Are you ok!?	12	
6	Dark attribute ATK x1.5 for 1 turn.	Are you ready?	16	
10	Reduce enemies' defense by 75% for 5 turns. Effects carry forward on sweep. 20% damage reduction for 5 turns.	Armor Break	17	
12	Recover 30% of max HP. Wood & Light attribute cards ATK x1.5 for 4 turns.	Armor Chink nya!	17	
10	Physical type cards ATK x2 for 1 turn. Delay 1 turn to all enemies.	Armourer Queen	15	
7	Change Fire orbs to Light orbs, Dark orbs to Heart orbs. Change own attribute to Light for 2 turns.	Arthurian Light	12	
8	Change Light orbs to Wood orbs, Water orbs to Dark orbs. Change Jammer orbs to Fire orbs.	As an Abomination	18	
22	Reduce 40% of all enemies' HP. Ignore enemy element and defense. Reduces cooldown of other skills by 1 turn.	Astral Blast	27	
11	Reduce enemies' defense to 0 for 1 turn. Effects carry forward on sweep. 50% damage reduction for 1 turn.	Astray Mist	16	
7	Change Heart, Jammer, Poison & Mortal Poison orbs to Water orbs. Reduces cooldown of other skills by 1 turn.	Astrocharge - Aqua	12	
7	Change Heart, Jammer, Poison & Mortal Poison orbs to Dark orbs. Reduces cooldown of other skills by 1 turn.	Astrocharge - Dark	12	
7	Change Heart, Jammer, Poison & Mortal Poison orbs to Fire orbs. Reduces cooldown of other skills by 1 turn.	Astrocharge - Flare	12	
7	Change Heart, Jammer, Poison & Mortal Poison orbs to Wood orbs. Reduces cooldown of other skills by 1 turn.	Astrocharge - Land	12	
7	Change Heart, Jammer, Poison & Mortal Poison orbs to Light orbs. Reduces cooldown of other skills by 1 turn.	Astrocharge - Light	12	
9	Change all orbs to Water, Light & Heart orbs. Change own attribute to Light for 3 turns.	Astronomical Incandescence	14	
12	Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Attacker type cards ATK x3 for 1 turn.	Attack Enhancement	17	
5	Change Heart orbs to Dark orbs.	Attack Stance - Dark	11	
5	Change Heart orbs to Fire orbs.	Attack Stance - Fire	11	
5	Change Heart orbs to Light orbs.	Attack Stance - Light	11	
6	Change Heart orbs to Light orbs. Enhance Light orbs. +6% per orb.	Attack Stance - Light X	10	
5	Change Heart orbs to Water orbs.	Attack Stance - Water	11	
5	Change Heart orbs to Wood orbs.	Attack Stance - Wood	11	
12	Change all orbs to Wood & Light orbs.	Aubade Gaia	19	
5	Inflict Water damage equal to ATK x20 to 1 enemy. Affected by enemy element and defense. 30% damage reduction for 1 turn.	Azure Sea Dragon Broadside	18	
15	Wood attribute ATK x5 for 1 turn. Reduces cooldown of other skills by 2 turns.	Bacches Enhancement	15	
15	Inflict Poison damage equal to ATK x2 to all enemies every turn. Ignore enemy element and defense.	Bad Breath	20	
12	Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Balanced type cards ATK x3 for 1 turn.	Balanced Enhancement	17	
16	Change all orbs to Fire & Dark orbs. Dragon & Machine type cards ATK x2.5 for 1 turn.	Baldin's Eyes	21	
8	Balanced type cards ATK x2 for 1 turn. Reduces cooldown of other skills by 1 turn.	Batarang Blitz	13	
11	Deal 999 damage to 1 enemy. Ignore enemy element and defense. Dark attribute ATK x2.5 for 1 turn.	Batwing	14	
11	Inflict Light damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. God type cards ATK x1.5 for 1 turn.	BEAMS Beam	11	
11	Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Devil type cards ATK x1.5 for 1 turn.	BEAMS DeviBeam	11	
6	Change Heart, Jammer, Poison & Mortal Poison orbs to Light orbs. Bind recovery for 3 turns.	Beast Spear	12	
4	Enhance Light orbs. +6% per orb, up to +180% for full board. Increases time limit of orb movement by 2 seconds for 1 turn.	Beautiful World	9	
10	Delay 1 turn to all enemies. Attacker type cards ATK x2 for 1 turn.	Behold: True brotherhood!	15	
6	Change Dark, Poison & Mortal Poison orbs to Water orbs. Increases time limit of orb movement by 1 second for 2 turns.	Be my friend.	11	
13	+2 combo count for 1 turn. Change all orbs to Water, Light & Heart orbs.	Benevolent Prayer	18	
11	Bind recovery for 3 turns.Awoken Bind recovery for 3 turns. Change all orbs to Water, Light & Heart orbs.	Benevolent Support	15	
7	Change Heart orbs to Poison orbs. Dragon type cards ATK x2 for 1 turn.	Berserk	12	
12	+2 combo count for 1 turn. Change all orbs to Fire, Water & Wood & Dark & Heart orbs.	Bewitching Prayer	17	
10	75% damage reduction for 1 turn. Change all orbs to Fire, Water & Wood & Dark & Heart orbs.	Bewitching Smile	14	
20	Inflict Dark damage equal to ATK x200 to all enemies. Affected by enemy element and defense. Reduces cooldown of other skills by 1 turn.	Big Bang	30	
18	Reduce 30% of all enemies' HP. Ignore enemy element and defense. Full HP recovery.	Big Saint Gravity	22	
6	Increase skyfall chance of Water orbs by 15% for 4 turns.	Big Whale's Sea Spray	21	
8	Change Water orbs to Wood orbs, Fire orbs to Heart orbs. Change Jammer, Poison & Mortal Poison orbs to Dark orbs.	Bionic Green Star Blade	12	
3	Deal 99 damage to 1 enemy. Ignore enemy element and defense. Balanced type cards ATK x1.2 for 6 turns.	Birdarangs	6	
11	Inflict Dark nuke damage equal to team Light ATK x10 to 1 enemy. Avoid all Dark  damage for 1 turn.	Black Ruin	21	
5	Deal 30000 Fire damage to all enemies. Affected by enemy element and defense. Enhance Fire orbs. +6% per orb, up to +180% for full board.	Blast Cannon	20	
7	Change left-most column into Fire orbs. Reduces cooldown of other skills by 1 turn.	Blast Signal	12	
3	Deal 25000 Fire damage to all enemies. Affected by enemy element and defense.	Blaze Ball	9	
13	Enhance Fire orbs. +6% per orb, up to +180% for full board. Reduces cooldown of other skills by 2 turns.	Blaze Charge	23	
10	Avoid all Wood  damage for 3 turns. Enhance Fire orbs. +6% per orb, up to +180% for full board.	Blazing Field	20	
11	50% damage reduction for 3 turns. Reduces cooldown of other skills by 1 turn.	Blazing Storm Barricade	15	
7	Increase skyfall chance of Fire orbs by 25% for 1 turn. Reduces cooldown of other skills by 1 turn.	Blazing Vision	22	
13	Reduce enemies' defense to 0 for 1 turn. Effects carry forward on sweep. Inflict Wood damage equal to ATK x20 to 1 enemy, and drain 100% of the damage you dealt. Affected by enemy element and defense.	Blessed Blade of the Hero	23	
10	75% damage reduction for 1 turn. +1 combo count for 1 turn.	Blessed Protection	14	
8	Deal 40000 Water damage to all enemies. Affected by enemy element and defense. Delay 1 turn to all enemies.	Blizzaga	13	
6	Deal 20000 Water damage to all enemies. Affected by enemy element and defense. Change Light orbs to Water orbs.	Blizzard Ball	15	
7	Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Water attribute ATK x1.5 for 2 turns.	Blizzard Breath	29	
5	Deal 30000 Water damage to all enemies. Affected by enemy element and defense. Enhance Water orbs. +6% per orb, up to +180% for full board.	Blizzard Cannon	20	
7	Change right-most column into Water orbs. Reduces cooldown of other skills by 1 turn.	Blizzard Signal	12	
6	Enhance Dark orbs. +6% per orb, up to +180% for full board. 35% damage reduction for 2 turns.	Blood Howl	15	
8	Reduce 10% of all enemies' HP. Ignore enemy element and defense. Enhance Wood orbs. +6% per orb, up to +180% for full board.	Blowing Gravity	14	
6	Recover 30% of max HP. Change Fire orbs to Heart orbs.	Blueberry Shower	13	
10	God type cards ATK x2.5 for 2 turns. Deal 100000 damage to 1 enemy. Ignore enemy element and defense.	Blue Crest	15	
7	Attacker type cards ATK x1.5 for 1 turn. Randomly spawn 3 Water orbs from non Water orbs.	Blue Season	12	
10	Reduce 20% of all enemies' HP. Ignore enemy element and defense.	Boisterous Dance	15	
13	+2 combo count for 1 turn. Change all orbs to Fire, Wood & Heart orbs.	Bold Prayer	18	
11	Bind recovery for 3 turns.Awoken Bind recovery for 3 turns. Change all orbs to Fire, Wood & Heart orbs.	Bold Supremacy	15	
5	Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.	Bomb	30	
6	Inflict Wood damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Wood attribute ATK x1.5 for 1 turn.	Boost	12	
12	Delay 1 turn to all enemies. Change bottom-most row into Heart orbs.	Break Time	16	
7	Inflict damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. God type cards ATK x2 for 1 turn.	Breath of Creation	11	
10	Enhance Light & Dark orbs. +6% per orb, up to +180% for full board. Bind recovery for 1 turn.	Breath of the Demon God	15	
10	Counter 10x damage taken with Dark for 1 turn.	Bring it On!!	20	
7	Enhance Wood & Heart orbs. +6% per orb, up to +180% for full board. Reduces cooldown of other skills by 1 turn.	Broken Arrow	12	
4	Switch places with leader card. Use again to switch back.	Browning Shift	20	
8	Change Wood & Dark orbs to Heart orbs. Reduces cooldown of other skills by 1 turn.	Bumper Crop Prayer	13	
4	Switch places with leader card. Use again to switch back.	Burning Shift	16	
5	Inflict damage equal to ATK x50 to 1 enemy. Affected by enemy element and defense. Reduce enemies' defense by 75% for 2 turns. Effects carry forward on sweep.	Burst Bomb	20	
15	Reduce 15% of all enemies' HP. Ignore enemy element and defense.	Butcher Knife	25	
9	Change all orbs to Fire, Water & Dark orbs. Reduces cooldown of other skills by 1 turn.	Byakko Seven-Star Formation	13	
6	Increase skyfall chance of Light orbs by 15% for 2 turns. Randomly spawn 3 Light orbs from non Light orbs.	By the honor of the Quincy...	11	
5	Change Water orbs to Heart orbs. Enhance Wood & Heart orbs. +6% per orb, up to +180% for full board.	Calming Mountain Wind	9	
9	Delay 1 turn to all enemies. Change Water orbs to Fire orbs.	Carving One's Own Path	14	
8	Change all orbs to Fire, Water & Wood & Light & Dark orbs. Enhance Fire orbs. +6% per orb.	Celestial Eye of Wadjet X	12	
4	Change left-most column into Water orbs.	Celestial Sign	9	
7	Change Water orbs to Light orbs, Dark orbs to Heart orbs. Change own attribute to Light for 2 turns.	Celtic Light	12	
6	Change Water orbs to Heart orbs, Light orbs to Mortal Poison orbs. Balanced & Dragon type cards ATK x2 for 1 turn.	Chameleon Blast	21	
7	Change Light orbs to Wood orbs, Water orbs to Poison orbs. Reduces cooldown of other skills by 1 turn.	Chameleonic Vision	22	
13	God type cards ATK x2.5 for 1 turn. Give 10 seconds to move orbs without triggering matches.	Change the World	20	
8	God type cards ATK x2 for 1 turn. Increases time limit of orb movement by 200% for 1 turn.	Change the World X	13	
10	Deal 3000 Dark damage to all enemies. Affected by enemy element and defense.	Chaos Ball	25	
10	Inflict Dark damage equal to ATK x5 to all enemies. Affected by enemy element and defense.	Chaos Breath	20	
8	Change all orbs to Fire, Wood & Dark orbs.	Chaotic Call	14	
6	Inflict Fire damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Fire & Water attribute cards ATK x1.3 for 5 turns.	Charge!!	15	
16	Reduce 30% of all enemies' HP. Ignore enemy element and defense. Reduces cooldown of other skills by 1 turn.	Charge Gravity-G	31	
