MonsterID	MonsterName	MonsterNameJP	Rarity	AttributeOne	AttributeTwo	MonsterTypeOne	MonsterTypeTwo	MaxLevel	MaxHP	MaxATK	MaxRCV	NumOfAwokenSkills	UNKNOWN	LeaderSkillDesc	MonsterCost	ActiveSkillMaxCoolDown	ActiveSkillMaxLevel	ExperienceScale	MonsterTypeThree	UNKNOWNTWO
1	Tyrra	ティラ	2	1	0	1	0	5	144	71	13	0	11	 attribute cards ATK x1.5.	2	10	6	150	0	0	
2	Tyran	ティラン	3	1	0	1	0	15	490	231	50	0	11	 attribute cards ATK x1.5.	4	10	6	150	0	0	
3	Tyrannos	ティラノス	4	1	0	1	0	35	971	508	111	0	11	 attribute cards ATK x1.5.	6	26	23	150	0	0	
4	Firedragon Tyrannos	爆炎龍ティラノス	5	1	0	1	0	99	2145	1114	231	3	11	Fire attribute cards ATK x2. Increases time limit of orb movement by 2 seconds.	10	29	23	150	0	0	
5	Plessie	プレシィ	2	2	0	1	0	5	155	62	18	0	11	Water attribute cards ATK x1.5.	2	10	6	150	0	0	
6	Plesiel	プレシィール	3	2	0	1	0	15	518	210	60	0	11	Water attribute cards ATK x1.5.	4	10	6	150	0	0	
7	Plesios	プレシオス	4	2	0	1	0	35	998	477	128	0	11	Water attribute cards ATK x1.5.	6	26	23	150	0	0	
8	Icedragon Plesios	氷塊龍プレシオス	5	2	0	1	0	99	2195	1056	264	3	11	Water attribute cards ATK x2.	10	29	23	150	0	0	
9	Brachy	ブラッキィ	2	3	0	1	0	5	168	59	22	0	11	Wood attribute cards ATK x1.5.	2	10	6	150	0	0	
10	Brachio	ブラッキオ	3	3	0	1	0	15	555	208	75	0	11	Wood attribute cards ATK x1.5.	4	10	6	150	0	0	
11	Brachys	ブラキオス	4	3	0	1	0	35	1015	464	140	0	11	Wood attribute cards ATK x1.5.	6	29	23	150	0	0	
12	Flowerdragon Brachys	大花龍ブラキオス	5	3	0	1	0	99	2228	1031	286	3	11	Wood attribute cards ATK x2.	10	26	23	150	0	0	
13	Pterra	プテーラ	2	4	0	1	0	5	138	65	15	0	11	Light attribute cards ATK x1.5.	2	10	6	150	0	0	
14	Pteras	プテラス	3	4	0	1	0	15	460	221	55	0	11	Light attribute cards ATK x1.5.	4	10	6	150	0	0	
15	Pterados	プテラドス	4	4	0	1	0	35	928	486	117	0	11	Light attribute cards ATK x1.5.	6	29	22	150	0	0	
16	Sundragon Pterados	太陽龍プテラドス	5	4	0	1	0	99	2063	1073	253	3	11	Light attribute cards ATK x2.	10	26	23	150	0	0	
17	Spinon	スピノン	2	5	0	1	0	5	129	78	12	0	11	Dark attribute cards ATK x1.5.	2	10	6	150	0	0	
18	Spinas	スピナス	3	5	0	1	0	15	447	236	45	0	11	Dark attribute cards ATK x1.5.	4	10	6	150	0	0	
19	D'spinas	デスピナス	4	5	0	1	0	35	954	499	105	0	11	Dark attribute cards ATK x1.5.	6	26	23	150	0	0	
20	Moondragon D'spinas	月光龍デスピナス	5	5	0	1	0	99	2112	1097	220	3	11	Dark attribute cards ATK x1.5.	10	29	22	150	0	0	
