MonsterID	MonsterName	MonsterNameJP	Rarity	AttributeOne	MaxLevel	NumOfAwokenSkills
1	Tyrra	ティラ	2	1	5	0	
2	Tyran	ティラン	3	1	15	0	
3	Tyrannos	ティラノス	4	1	35	0	
4	Firedragon Tyrannos	爆炎龍ティラノス	5	1	99	3	
5	Plessie	プレシィ	2	2	5	0	
6	Plesiel	プレシィール	3	2	15	0	
7	Plesios	プレシオス	4	2	35	0	
8	Icedragon Plesios	氷塊龍プレシオス	5	2	99	3	
9	Brachy	ブラッキィ	2	3	5	0	
10	Brachio	ブラッキオ	3	3	15	0	
11	Brachys	ブラキオス	4	3	35	0	
12	Flowerdragon Brachys	大花龍ブラキオス	5	3	99	3	
13	Pterra	プテーラ	2	4	5	0	
14	Pteras	プテラス	3	4	15	0	
15	Pterados	プテラドス	4	4	35	0	
16	Sundragon Pterados	太陽龍プテラドス	5	4	99	3	
17	Spinon	スピノン	2	5	5	0	
18	Spinas	スピナス	3	5	15	0	
19	D'spinas	デスピナス	4	5	35	0	
20	Moondragon D'spinas	月光龍デスピナス	5	5	99	3	
21	Lil' Red Dragon	レッドコドラ	2	1	15	0	
22	Red Dragon	レッドドラゴン	3	1	25	0	
23	Volcano Dragon	ボルケーノドラゴン	4	1	70	0	
24	Lil' Blue Dragon	ブルーコドラ	2	2	15	0	
25	Blue Dragon	ブルードラゴン	3	2	25	0	
26	Aurora Dragon	オーロラドラゴン	4	2	70	0	
27	Lil' Green Dragon	グリーンコドラ	2	3	15	0	
28	Green Dragon	グリーンドラゴン	3	3	25	0	
29	Earth Dragon	アースドラゴン	4	3	70	0	
30	Lil' White Dragon	ホワイトコドラ	2	4	15	0	
31	White Dragon	ホワイトドラゴン	3	4	25	0	
32	Holy Dragon	ホーリードラゴン	4	4	70	0	
33	Lil' Black Dragon	ブラックコドラ	2	5	15	0	
34	Black Dragon	ブラックドラゴン	3	5	25	0	
35	Devil Dragon	デビルドラゴン	4	5	70	0	
36	Flamie	ホノりん	1	1	10	0	
37	Big Flamie	デカホノりん	2	1	30	0	
38	Bubblie	アワりん	1	2	10	0	
39	Big Bubblie	デカアワりん	2	2	30	0	
40	Woodsie	モリりん	1	3	10	0	
41	Big Woodsie	デカモリりん	2	3	30	0	
42	Shynee	ヒカりん	1	4	10	0	
43	Big Shynee	デカヒカりん	2	4	30	0	
44	Baddie	ワルりん	1	5	10	0	
45	Big Baddie	デカワルりん	2	5	30	0	
46	Red Carbuncle	レッドカーバンクル	1	1	10	0	
47	Ruby Carbuncle	ルビーカーバンクル	2	1	30	0	
48	Blue Carbuncle	ブルーカーバンクル	1	2	10	0	
49	Sapphire Carbuncle	サファイアカーバンクル	2	2	30	0	
50	Green Carbuncle	グリーンカーバンクル	1	3	10	0	
51	Emerald Carbuncle	エメラルドカーバンクル	2	3	30	0	
52	Yellow Carbuncle	イエローカーバンクル	1	4	10	0	
53	Topaz Carbuncle	トパーズカーバンクル	2	4	30	0	
54	Purple Carbuncle	パープルカーバンクル	1	5	10	0	
55	Amethyst Carbuncle	アメジストカーバンクル	2	5	30	0	
56	Red Goblin	レッドゴブリン	1	1	10	0	
