image60_size	jp_only	name	image40_href	image40_size	rarity	active_skill	atk_max	id	rcv_scale	team_cost	leader_skill	hp_scale	version	atk_scale	rcv_min	atk_min	rcv_max	monster_points	type3	hp_max	element2	element	type2	max_level	awoken_skills	hp_min	name_jp	image60_href	feed_xp	xp_curve	type	
12301	False	Tyrra	/static/img/monsters/40x40/1.b05c24c06800.png	6826	2	Heat Breath	71	1	1.0	2	Fire Power	1.0	293	1.0	8	57	13	1	None	144	None	0	None	5	[]	52	ティラ	/static/img/monsters/60x60/1.55abb441ae5e.png	100.0	1500000	4	
9909	False	Tyran	/static/img/monsters/40x40/2.f8b57115da32.png	4255	3	Heat Breath	231	2	1.0	4	Fire Power	1.0	293	1.0	12	64	50	1	None	490	None	0	None	15	[]	115	ティラン	/static/img/monsters/60x60/2.59dff2026356.png	175.0	1500000	4	
10760	False	Tyrannos	/static/img/monsters/40x40/3.01dcdd877902.png	4290	4	Magma Breath	508	3	1.0	6	Fire Power	1.0	293	1.0	45	208	111	1	None	971	None	0	None	35	[]	392	ティラノス	/static/img/monsters/60x60/3.d65f1e2d7161.png	375.0	1500000	4	
13953	False	Firedragon Tyrannos	/static/img/monsters/40x40/4.92cb30e50423.png	7103	5	Magma Breath	1114	4	1.0	10	Power of Explosion	1.0	293	1.0	100	457	231	1	None	2145	None	0	None	99	[1, 2, 21]	777	爆炎龍ティラノス	/static/img/monsters/60x60/4.269786c48bf1.png	563.0	1500000	4	
10972	False	Plessie	/static/img/monsters/40x40/5.2ee2b1e60d4c.png	6411	2	Cold Breath	62	5	1.0	2	Water Power	1.0	293	1.0	11	42	18	1	None	155	None	1	None	5	[]	62	プレシィ	/static/img/monsters/60x60/5.cbede57ddec1.png	100.0	1500000	4	
12976	False	Plesiel	/static/img/monsters/40x40/6.3bd07aaa3ce2.png	6946	3	Cold Breath	210	6	1.0	4	Water Power	1.0	293	1.0	16	56	60	1	None	518	None	1	None	15	[]	124	プレシィール	/static/img/monsters/60x60/6.dca15f2b993f.png	175.0	1500000	4	
11842	False	Plesios	/static/img/monsters/40x40/7.fde78a1d8359.png	6561	4	Blizzard Breath	477	7	1.0	6	Water Power	1.0	293	1.0	54	189	128	1	None	998	None	1	None	35	[]	414	プレシオス	/static/img/monsters/60x60/7.18970f87eef0.png	375.0	1500000	4	
12271	False	Icedragon Plesios	/static/img/monsters/40x40/8.5eded0bbf7bb.png	6708	5	Blizzard Breath	1056	8	1.0	10	Power of Water Rapids	1.0	293	1.0	115	429	264	1	None	2195	None	1	None	99	[1, 2, 21]	798	氷塊龍プレシオス	/static/img/monsters/60x60/8.0b323b99f44d.png	563.0	1500000	4	
13568	False	Brachy	/static/img/monsters/40x40/9.c70370770253.png	7220	2	Wind Breath	59	9	1.0	2	Wood Power	1.0	293	1.0	13	32	22	1	None	168	None	2	None	5	[]	67	ブラッキィ	/static/img/monsters/60x60/9.0be90dba5392.png	100.0	1500000	4	
11917	False	Brachio	/static/img/monsters/40x40/10.1fd7649b9ed7.png	4818	3	Wind Breath	208	10	1.0	4	Wood Power	1.0	293	1.0	20	53	75	1	None	555	None	2	None	15	[]	134	ブラッキオ	/static/img/monsters/60x60/10.144af2c6b74e.png	175.0	1500000	4	
