name	effect	
さあ くるならこいよ	Fire attribute cards ATK x3 at 4 combos or above.	
グルド!!!	Increases time limit of orb movement by 1.5 seconds.	
ジース!!!	Balanced type cards ATK x1.5.	
バータ!!!	Attacker type cards ATK x1.5.	
ゴミめ…	All attribute cards ATK x3 when attacking with Fire, Wood & Dark orb types at the same time.	
いけーっ ドラグーン!!	Unknown - needs data update	
リクーム!!!	Physical type cards ATK x1.5.	
くたばれ!!!!!	Dragon type cards HP x2, ATK x2. All attribute cards ATK x3 when attacking with 3 of following orb types: Water, Light, Dark & Heart.	
カーンアイ	All attribute cards ATK x5 when attacking with Fire, Water, Wood, Light & Dark orb types at the same time.	
マリアアイ	Increases time limit of orb movement by 5 seconds.	
ラーンアイ	All attribute cards ATK x5 when attacking with Fire, Water, Wood, Light & Dark orb types at the same time.	
さあこいよ!	Attacker type cards ATK x2.5, RCV x1.5.	
そこをどけ!!	Balanced type cards ATK x4 when HP is full.	
オオオオオオ	Physical attribute cards ATK x3.5. Attacker attribute cards HP x1.5. 50% all damage reduction when HP is greater than 50%.	
チッチッチ…	Devil type cards HP x0.8, ATK x3.5, RCV x0.8.	
きぃやああああ	No skyfall matches. Attacker attribute cards HP x1.5, ATK x1.5. ATK x2 when simultaneously clearing 5 connected Light or Heart orbs. ATK x1 for each additional orb, up to ATK x5 at 8 connected orb.	
そうこなくちゃ	Water attribute cards ATK x3 at 4 combos or above.	
ふたりのエール	Balanced type cards ATK x2, RCV x2. Heal RCV x5 as HP after every orbs elimination.	
ゆ…ゆるさん…	Dragon type cards ATK x1.5.	
グレートホーン!!	Fire attribute & Physical type cards ATK x2.	
きええええーっ!!!!	Increases time limit of orb movement by 3 seconds.	
なめるなよーっ!!!!	All attribute cards ATK x2.5, RCV x2 when attacking with Water & Dark orb types at the same time. All attribute cards ATK x3 when reaching Dark & Light combos.	
うけてみろーっ!!!!!	All attribute cards ATK x3 when reaching Wood & Wood combos.	
こんにゃろーっ!!!!!	ATK x2.5 when simultaneously clearing 4 connected Light orbs.	
けんおうのとうき	Enhance Material type cards HP x2, ATK x2.5.	
さあーいくわよ！	Healer type cards ATK x2.5.	
さっさとやろうぜ	Physical & Dragon type cards HP x1.5, ATK x1.5. All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart. ATK x0.5 for each additional orb type, up to ATK x5 for all 6 matches.	
もうゆるさないぞ	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark.	
りゅうきのいのり	Water & Wood attribute cards HP x2.	
オーディンハット	75% all damage reduction when HP is full. ATK x3 for clearing each Wood orbs in a cross formation.	
ポイズンアタック	Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	
アタマにきたぞ…!!	Physical type cards ATK x1.5. While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	
いいんだろこれで!!!	All attribute cards ATK x3 when attacking with Light & Dark orb types at the same time.	
おまえもうおしまい	Devil type cards ATK x2.	
そうあわてるなよ…	Dragon type cards ATK x2.	
パイナップルナッツ	50% Light damage reduction.	
ポッピングシャワー	50% Water damage reduction.	
すぐなおしてあげる!!	God type cards ATK x2. Heal RCV x4 as HP after every orbs elimination.	
おめえをぶったおす!!!	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart.	
ぼくはいかなければ…	Fire attribute & Healer type cards ATK x2.5.	
カタストロフィソード	Machine type cards HP x1.5, ATK x1.5, RCV x1.5. All attribute cards ATK x2.5 when attacking with 2 of following orb types: Fire, Water, Wood, Light & Dark. ATK x1.5 for each additional orb type, up to ATK x7 for all 5 matches.	
スモールダブルたまぁ	Fusing this card to another may result in an awakening. ( Low success rate )	
うぬぼれやがって……!	Physical type cards ATK x1.5.	
ア…アタマにきたぜ…!	Attacker type cards ATK x1.5, RCV x1.5.	
いただきいただきーっ!!!	Get x2 coins after a battle.	
チョコにしてやるーっ!!!	Devil type cards ATK x2.5.	
まだまだこれからだ…！	All attribute cards ATK x3 when reaching Wood & Wood combos. All attribute cards ATK x2 when attacking with Wood & Light orb types at the same time.	
オレとたたかうヤツだせ	Devil type cards HP x0.8, ATK x3, RCV x0.8.	
チョップドチョコレート	50% Dark damage reduction.	
うんこたれじゃないーっ!!!!	Dragon & Attacker type cards ATK x2.5, RCV x2.5.	
おとなしくつかまりなさい	All attribute cards ATK x3 when reaching Fire & Fire or Fire & Wood combos.	
