MonsterID	MaxLevel	MaxHP	MaxATK	MaxRCV	GrowthRateHP	GrowthRateATK	GrowthRateRcv	CurSell	CurFodder	MinHP	MinATK	MinRCV
745	50	1618	1020	223	1	1	1	4050	3750	674	510	106	
2876	99	2638	901	179	1	1	1	4200	3900	1256	429	85	
1726	99	4520	1660	91	1.5	1.5	1.5	6600	6300	1230	743	195	
2966	99	1612	660	171	0.7	0.7	0.7	2550	2250	274	350	88	
553	15	62	633	130	0.7	0.7	0.7	1050	1700	24	253	62	
2213	1	100	100	100	1	1	1	1500	80000	100	100	100	
2998	50	2610	1405	303	1	1	1	7200	6900	903	425	69	
1613	99	3310	1457	385	1	1	1	6600	6300	1204	738	390	
1826	50	1810	996	0	1	1	1	4050	3750	754	586	0	
1788	70	1887	1060	247	1	1	1	3150	2850	703	505	94	
3249	99	3345	1631	284	1	1	1	4950	4650	1298	934	189	
2189	99	2961	1754	0	0.7	0.7	0.7	4050	3750	658	501	0	
1413	99	3003	810	511	1	1	1	3450	3150	1233	450	284	
3642	99	5510	1742	303	1.5	1.5	1.5	31650	31350	961	280	66	
3030	50	1044	715	163	1	1	1	2400	2100	435	298	68	
3231	99	1176	1132	72	1	1	1	1800	1500	196	343	24	
2616	99	3515	1508	0	1	1	1	4050	3750	1406	603	0	
1284	50	1342	699	269	1	1	1	2400	2100	559	411	158	
673	50	1323	518	162	1	1	1	2400	2100	294	115	77	
2751	99	2639	1707	630	1	1	1	6600	6300	1278	719	340	
3164	99	2657	1313	347	1	1	1	2400	2100	1265	625	165	
971	99	2137	2004	250	1	1	1	8700	8400	321	440	125	
2831	99	2395	1220	513	0.7	0.7	0.7	4200	3900	958	488	205	
1089	99	5180	1409	0	1	1	1	10350	10050	2072	783	0	
2532	99	3803	1205	103	1	1	1	4050	3750	1521	482	41	
3053	99	2988	1973	158	1	1	1	6600	6300	1115	769	43	
326	99	2609	1655	231	1.5	1.5	1.5	4200	3900	861	416	105	
1666	99	2760	1181	518	1	1	1	4950	4650	1104	656	288	
3401	1	100	50	300	1	1	1	1050	40000	100	50	300	
3308	1	100	500	60	1	1	1	1200	40000	100	500	60	
3541	1	2800	3000	360	0.7	0.7	0.7	16050	15750	2800	3000	360	
619	1	1000	500	100	0.7	0.7	0.7	2000000	600000	1000	500	100	
81	70	2672	723	54	1	1	1	2250	1950	660	270	34	
140	50	1350	806	192	1.5	1.5	1.5	2300	2000	308	229	53	
3224	99	3345	1631	284	1	1	1	4950	4650	1298	934	189	
2095	50	1411	989	0	0.7	0.7	0.7	2250	1950	588	582	0	
2729	99	1540	1733	158	1	1	1	4350	4050	616	693	63	
142	99	3018	1408	142	1.5	1.5	1.5	4950	4650	495	330	52	
1049	50	1549	970	161	1	1	1	7050	6750	704	462	107	
1534	99	2652	1951	467	1.5	1.5	1.5	5850	5550	1280	805	165	
2603	99	4513	1988	73	1	1	1	7200	6900	1605	715	5	
262	25	403	715	63	0.7	0.7	0.7	2300	1600	155	286	30	
1168	99	3367	1067	555	1	1	1	7200	6900	1247	508	158	
2886	1	500	250	0	1	1	1	8850	8550	500	250	0	
