ASListID	AwokenSkillOne	AwokenSkillTwo	AwokenSkillThree	AwokenSkillFour	AwokenSkillFive	AwokenSkillSix	AwokenSkillSeven	AwokenSkillEight	AwokenSkillNine
601	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1061	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1841	'Two-Pronged Attack'	'Extend Time'	'Skill Boost'	'Resistance-Skill Bind'	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Multi Boost'	
2523	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
610	'Reduce Water Damage'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3637	'Resistance-Bind'	'Resistance-Bind'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	
2550	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2019	'Enhanced HP'	'Enhanced Fire Orbs'	'Enhanced Fire Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
2804	'Enhanced Fire Attribute'	'Resistance-Poison'	'Resistance-Poison'	NULL	NULL	NULL	NULL	NULL	NULL	
2090	'Enhanced Light Attribute'	'Resistance-Bind'	'Auto-Recover'	'Skill Boost'	'Resistance-Bind'	'Auto-Recover'	'Enhanced Light Attribute'	'Enhanced Light Attribute'	'Enhanced Light Attribute'	
176	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
243	'Extend Time'	'Resistance-Skill Bind'	'Skill Boost'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
1243	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
320	'Enhanced Dark Orbs'	'Resistance-Bind'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
2762	'Skill Boost'	'Extend Time'	'Resistance-Skill Bind'	'Enhanced Dark Attribute'	'Two-Pronged Attack'	'Enhanced Dark Attribute'	'Two-Pronged Attack'	'Physical Killer'	NULL	
384	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1752	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Wood Orbs'	'Enhanced Wood Orbs'	NULL	NULL	NULL	NULL	NULL	
142	'Enhanced Fire Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2682	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2238	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Two-Pronged Attack'	'Skill Boost'	'Two-Pronged Attack'	'Enhanced Light Attribute'	'Enhanced Light Attribute'	NULL	NULL	
428	'Enhanced Heart Orbs'	'Auto-Recover'	'Recover Bind'	NULL	NULL	NULL	NULL	NULL	NULL	
1315	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2605	'Skill Boost'	'Skill Boost'	'Extend Time'	'Resistance-Skill Bind'	'Attacker Killer'	NULL	NULL	NULL	NULL	
2423	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2540	'Skill Boost'	'Skill Boost'	'Skill Boost'	'Skill Boost'	'Resistance-Jammers'	'Resistance-Skill Bind'	NULL	NULL	NULL	
